representation,condition,replicate,finite,bounded,before_linear_target_score,after_linear_target_score,delta_linear_target_score,before_linear_max_score,after_linear_max_score,delta_linear_max_score,before_linear_target_p,after_linear_target_p,before_linear_max_p,after_linear_max_p,before_linear_decision,after_linear_decision,linear_decision_agree,before_nonlinear_target_score,after_nonlinear_target_score,delta_nonlinear_target_score,before_nonlinear_max_score,after_nonlinear_max_score,delta_nonlinear_max_score,before_nonlinear_target_p,after_nonlinear_target_p,before_nonlinear_max_p,after_nonlinear_max_p,before_nonlinear_decision,after_nonlinear_decision,nonlinear_decision_agree,before_combined_target_score,after_combined_target_score,delta_combined_target_score,before_combined_max_score,after_combined_max_score,delta_combined_max_score,before_combined_target_p,after_combined_target_p,before_combined_max_p,after_combined_max_p,before_combined_decision,after_combined_decision,combined_decision_agree,after_combined_or_expected,after_combined_or_match
R2,null,87,True,True,0.055557815301111396,0.0555578153011114,6.938893903907228e-18,0.12484423627328634,0.12484423627328631,-2.7755575615628914e-17,1.0,1.0,0.638,0.638,False,False,True,0.006443796784023099,0.005357539819241272,-0.0010862569647818272,0.01655513054803907,0.017184534951253334,0.0006294044032142641,1.0,1.0,0.404,0.3495,False,False,True,0.055557815301111396,0.0555578153011114,6.938893903907228e-18,0.12484423627328634,0.12484423627328631,-2.7755575615628914e-17,1.0,1.0,0.638,0.638,False,False,True,False,True
R3,null,87,True,True,0.055557815301111396,0.055000354767108475,-0.000557460534002921,0.12484423627328634,0.12370153316103959,-0.0011427031122467485,1.0,1.0,0.6395,0.6555,False,False,True,0.005335624077681227,0.005332708191749181,-2.915885932045642e-06,0.017386195252930444,0.01671256275962796,-0.0006736324933024826,1.0,1.0,0.3155,0.373,False,False,True,0.055557815301111396,0.055000354767108475,-0.000557460534002921,0.12484423627328634,0.12370153316103959,-0.0011427031122467485,1.0,1.0,0.6395,0.6555,False,False,True,False,True
R4,null,87,True,True,0.055557815301111396,0.057212808327482434,0.0016549930263710377,0.12484423627328634,0.12236775959531161,-0.0024764766779747233,1.0,1.0,0.636,0.6885,False,False,True,0.008079930606989357,0.005703771117630079,-0.002376159489359278,0.016301320698214123,0.016888409075870785,0.0005870883776566624,1.0,1.0,0.4045,0.346,False,False,True,0.055557815301111396,0.057212808327482434,0.0016549930263710377,0.12484423627328634,0.12236775959531161,-0.0024764766779747233,1.0,1.0,0.636,0.6885,False,False,True,False,True
R1,common_pair,88,True,True,0.6085079701464827,0.608507970146483,2.220446049250313e-16,0.6085079701464827,0.608507970146483,2.220446049250313e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,0.16056345596750227,0.2276441896059062,0.06708073363840394,0.16056345596750227,0.2276441896059062,0.06708073363840394,0.0005,0.0005,0.0005,0.0005,True,True,True,0.6085079701464827,0.608507970146483,2.220446049250313e-16,0.6085079701464827,0.608507970146483,2.220446049250313e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R2,common_pair,88,True,True,0.6085079701464827,0.608507970146483,2.220446049250313e-16,0.6085079701464827,0.608507970146483,2.220446049250313e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,0.15782340751177323,0.21303611365780611,0.05521270614603288,0.15782340751177323,0.21303611365780611,0.05521270614603288,0.0005,0.0005,0.0005,0.0005,True,True,True,0.6085079701464827,0.608507970146483,2.220446049250313e-16,0.6085079701464827,0.608507970146483,2.220446049250313e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R3,common_pair,88,True,True,0.6085079701464827,0.6018773876470315,-0.006630582499451254,0.6085079701464827,0.6018773876470315,-0.006630582499451254,0.0005,0.0005,0.0005,0.0005,True,True,True,0.08924714694251848,0.18155373163657237,0.0923065846940539,0.08924714694251848,0.18155373163657237,0.0923065846940539,0.0005,0.0005,0.0005,0.0005,True,True,True,0.6085079701464827,0.6018773876470315,-0.006630582499451254,0.6085079701464827,0.6018773876470315,-0.006630582499451254,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R4,common_pair,88,True,True,0.6085079701464827,0.5987064462163181,-0.009801523930164646,0.6085079701464827,0.5987064462163181,-0.009801523930164646,0.0005,0.0005,0.0005,0.0005,True,True,True,0.13093322832387827,0.19273167611591902,0.061798447792040745,0.13093322832387827,0.19273167611591902,0.061798447792040745,0.0005,0.0005,0.0005,0.0005,True,True,True,0.6085079701464827,0.5987064462163181,-0.009801523930164646,0.6085079701464827,0.5987064462163181,-0.009801523930164646,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R1,direct_linear,88,True,True,0.572126539047936,0.572126539047936,0.0,0.572126539047936,0.572126539047936,0.0,0.0005,0.0005,0.0005,0.0005,True,True,True,0.13582129273180749,0.16258771758660528,0.0267664248547978,0.13582129273180749,0.16258771758660528,0.0267664248547978,0.0005,0.0005,0.0005,0.0005,True,True,True,0.572126539047936,0.572126539047936,0.0,0.572126539047936,0.572126539047936,0.0,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R2,direct_linear,88,True,True,0.572126539047936,0.572126539047936,0.0,0.572126539047936,0.572126539047936,0.0,0.0005,0.0005,0.0005,0.0005,True,True,True,0.1210337949553987,0.17892515369005635,0.057891358734657644,0.1210337949553987,0.17892515369005635,0.057891358734657644,0.0005,0.0005,0.0005,0.0005,True,True,True,0.572126539047936,0.572126539047936,0.0,0.572126539047936,0.572126539047936,0.0,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R3,direct_linear,88,True,True,0.572126539047936,0.5684218494119282,-0.0037046896360077852,0.572126539047936,0.5684218494119282,-0.0037046896360077852,0.0005,0.0005,0.0005,0.0005,True,True,True,0.1311776419950582,0.18175655278224173,0.050578910787183545,0.1311776419950582,0.18175655278224173,0.050578910787183545,0.0005,0.0005,0.0005,0.0005,True,True,True,0.572126539047936,0.5684218494119282,-0.0037046896360077852,0.572126539047936,0.5684218494119282,-0.0037046896360077852,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
