representation,condition,channel,score_scope,n,mean_delta,median_delta,mean_absolute_delta,max_absolute_delta
R2,direct_linear,nonlinear,max,100,0.06965482461338171,0.06917887765358105,0.06965482461338171,0.11293451189512171
R2,direct_linear,combined,target,100,1.3322676295501878e-17,0.0,7.771561172376095e-17,2.220446049250313e-16
R2,direct_linear,combined,max,100,1.3322676295501878e-17,0.0,7.771561172376095e-17,2.220446049250313e-16
R2,common_pair,linear,target,100,3.885780586188048e-18,0.0,6.716849298982197e-17,2.220446049250313e-16
R2,common_pair,linear,max,100,3.885780586188048e-18,0.0,6.716849298982197e-17,2.220446049250313e-16
R2,common_pair,nonlinear,target,100,0.049425621237239134,0.04954468243212069,0.049425621237239134,0.07416745286961818
R2,common_pair,nonlinear,max,100,0.049425621237239134,0.04954468243212069,0.049425621237239134,0.07416745286961818
R2,common_pair,combined,target,100,3.885780586188048e-18,0.0,6.716849298982197e-17,2.220446049250313e-16
R2,common_pair,combined,max,100,3.885780586188048e-18,0.0,6.716849298982197e-17,2.220446049250313e-16
R2,nonlinear_square,linear,target,100,-3.122502256758253e-18,0.0,1.9359513991901167e-17,1.1102230246251565e-16
R2,nonlinear_square,linear,max,100,2.7755575615628914e-19,0.0,2.1371793224034264e-17,1.1102230246251565e-16
R2,nonlinear_square,nonlinear,target,100,0.007159803170434425,0.006776552226025655,0.0072430653623450116,0.019732393505496985
R2,nonlinear_square,nonlinear,max,100,0.007159803170434425,0.006776552226025655,0.0072430653623450116,0.019732393505496985
R2,nonlinear_square,combined,target,100,0.000800283030736012,0.0,0.0008002830307360319,0.015086210852470638
R2,nonlinear_square,combined,max,100,2.7755575615628914e-19,0.0,2.1371793224034264e-17,1.1102230246251565e-16
R2,nonlinear_tanh,linear,target,100,1.6653345369377347e-18,0.0,7.049916206369744e-17,2.220446049250313e-16
R2,nonlinear_tanh,linear,max,100,1.6653345369377347e-18,0.0,7.049916206369744e-17,2.220446049250313e-16
R2,nonlinear_tanh,nonlinear,target,100,0.04967400397672139,0.04892328280229751,0.04967400397672139,0.09540413173539591
R2,nonlinear_tanh,nonlinear,max,100,0.04967400397672139,0.04892328280229751,0.04967400397672139,0.09540413173539591
R2,nonlinear_tanh,combined,target,100,1.6653345369377347e-18,0.0,7.049916206369744e-17,2.220446049250313e-16
R2,nonlinear_tanh,combined,max,100,1.6653345369377347e-18,0.0,7.049916206369744e-17,2.220446049250313e-16
R2,global_common,linear,target,100,-4.440892098500626e-18,0.0,5.10702591327572e-17,1.6653345369377348e-16
R2,global_common,linear,max,100,1.1102230246251566e-18,0.0,7.105427357601002e-17,2.220446049250313e-16
R2,global_common,nonlinear,target,100,0.023170030451022526,0.02229652924423569,0.023170030451022526,0.04332291996902804
R2,global_common,nonlinear,max,100,0.04592517473759917,0.04580382877015399,0.04592517473759917,0.097101125906457
R2,global_common,combined,target,100,-4.440892098500626e-18,0.0,5.10702591327572e-17,1.6653345369377348e-16
R2,global_common,combined,max,100,1.1102230246251566e-18,0.0,7.105427357601002e-17,2.220446049250313e-16
R3,null,linear,target,100,-0.00026304037666683144,-0.0001288092899050866,0.0025283969842751996,0.0095860274757298
R3,null,linear,max,100,-0.00024720497432865655,-0.0003894399891486572,0.0020928495533844883,0.008862534291970578
R3,null,nonlinear,target,100,-0.00011331679978532771,-0.0001790455987673305,0.0008550125691313776,0.0026167831924924414
R3,null,nonlinear,max,100,0.00018864999143089923,7.270988948186903e-05,0.000940530516172354,0.00600731748530503
R3,null,combined,target,100,-0.00026304037666683144,-0.0001288092899050866,0.0025283969842751996,0.0095860274757298
R3,null,combined,max,100,-0.00024720497432865655,-0.0003894399891486572,0.0020928495533844883,0.008862534291970578
R3,direct_linear,linear,target,100,-0.0018475227489197844,-0.0015763042641464553,0.002502189252240655,0.007943742640407092
R3,direct_linear,linear,max,100,-0.0018475227489197844,-0.0015763042641464553,0.002502189252240655,0.007943742640407092
R3,direct_linear,nonlinear,target,100,0.05359048660912427,0.05282563838786936,0.05359048660912427,0.09171013505102527
R3,direct_linear,nonlinear,max,100,0.05359048660912427,0.05282563838786936,0.05359048660912427,0.09171013505102527
R3,direct_linear,combined,target,100,-0.0018475227489197844,-0.0015763042641464553,0.002502189252240655,0.007943742640407092
R3,direct_linear,combined,max,100,-0.0018475227489197844,-0.0015763042641464553,0.002502189252240655,0.007943742640407092
R3,common_pair,linear,target,100,-0.0019894110461377884,-0.0018047697994851286,0.0032381844684545185,0.012552917227618865
R3,common_pair,linear,max,100,-0.0019894110461377884,-0.0018047697994851286,0.0032381844684545185,0.012552917227618865
R3,common_pair,nonlinear,target,100,0.09199455097138859,0.09291175810976132,0.09199455097138859,0.1387376382246523
R3,common_pair,nonlinear,max,100,0.09199455097138859,0.09291175810976132,0.09199455097138859,0.1387376382246523
R3,common_pair,combined,target,100,-0.0019894110461377884,-0.0018047697994851286,0.0032381844684545185,0.012552917227618865
R3,common_pair,combined,max,100,-0.0019894110461377884,-0.0018047697994851286,0.0032381844684545185,0.012552917227618865
R3,nonlinear_square,linear,target,100,-0.007849788851893328,-0.00264634504938855,0.012538600265620183,0.08275308745347892
R3,nonlinear_square,linear,max,100,-0.004935405734612073,-0.0004837239675449176,0.007460782725092394,0.08275308745347892
R3,nonlinear_square,nonlinear,target,100,0.023205497253343622,0.022511400644468986,0.023205497253343622,0.0445543571220751
R3,nonlinear_square,nonlinear,max,100,0.023205497253343622,0.022511400644468986,0.023205497253343622,0.0445543571220751
R3,nonlinear_square,combined,target,100,0.008204956592256559,0.014675557569631854,0.019724455632689604,0.08275308745347892
R3,nonlinear_square,combined,max,100,-0.0021102860309904032,0.0004086856068316047,0.00848829424120886,0.08275308745347892
R3,nonlinear_tanh,linear,target,100,-0.0017203152555557238,-0.0016520687140369195,0.0031739859586753477,0.010863956339110248
R3,nonlinear_tanh,linear,max,100,-0.0017203152555557238,-0.0016520687140369195,0.0031739859586753477,0.010863956339110248
R3,nonlinear_tanh,nonlinear,target,100,0.03186371107627467,0.03181399509236467,0.03186371107627467,0.05689859378584669
R3,nonlinear_tanh,nonlinear,max,100,0.03186371107627467,0.03181399509236467,0.03186371107627467,0.05689859378584669
R3,nonlinear_tanh,combined,target,100,-0.0017203152555557238,-0.0016520687140369195,0.0031739859586753477,0.010863956339110248
R3,nonlinear_tanh,combined,max,100,-0.0017203152555557238,-0.0016520687140369195,0.0031739859586753477,0.010863956339110248
R3,global_common,linear,target,100,-0.001974751423786747,-0.0014388099712344393,0.0031747920531947594,0.03080457224141564
R3,global_common,linear,max,100,-0.0012435295758535254,-0.0007541999172099023,0.0026223551856479816,0.01571064285970658
R3,global_common,nonlinear,target,100,0.04368778195183315,0.04151004194039362,0.04368778195183315,0.08136151497675556
R3,global_common,nonlinear,max,100,0.04550325962846762,0.045504209415364275,0.04550325962846762,0.1006666045445169
R3,global_common,combined,target,100,-0.001974751423786747,-0.0014388099712344393,0.0031747920531947594,0.03080457224141564
R3,global_common,combined,max,100,-0.0012435295758535254,-0.0007541999172099023,0.0026223551856479816,0.01571064285970658
R4,null,linear,target,100,0.0005508008842547993,9.783920808456581e-06,0.003127286577309294,0.010569520108202751
R4,null,linear,max,100,-0.0002786631027338321,2.052238817631946e-05,0.0026531827486454156,0.010735312184732046
R4,null,nonlinear,target,100,-0.0003144421457090738,-0.00031152507716839016,0.0006845982373384625,0.0037715098616609207
R4,null,nonlinear,max,100,0.00016884920760747537,0.00010579984352206834,0.0008857365654106024,0.0037834538558743427
R4,null,combined,target,100,0.0005508008842547993,9.783920808456581e-06,0.003127286577309294,0.010569520108202751
