representation,condition,replicate,max_score,target_score,target_significant,target_localized,significant_pairs,broad_global_mode
R2,nonlinear_square,15,0.13551848205849215,0.12639635016982884,False,False,0,False
R2,nonlinear_square,16,0.12351949732022036,0.08533690010641842,False,False,0,False
R2,nonlinear_square,17,0.17233330665265062,0.04603924514457877,False,False,1,False
R2,nonlinear_square,18,0.11422354017892915,0.0836601293725188,False,False,0,False
R2,nonlinear_square,19,0.15203609253391107,0.06636097841046727,False,False,0,False
R2,nonlinear_square,20,0.1732447618535985,0.061670424439613715,False,False,1,False
R2,nonlinear_square,21,0.11221327213804495,0.07506706829908441,False,False,0,False
R2,nonlinear_square,22,0.1661386522122486,0.14747751669001066,False,False,0,False
R2,nonlinear_square,23,0.13491167421601716,0.12264754400572375,False,False,0,False
R2,nonlinear_square,24,0.1492376282988291,0.07075320932256128,False,False,0,False
R2,nonlinear_square,25,0.10165136902084201,0.06971059489620028,False,False,0,False
R2,nonlinear_square,26,0.13416703221434767,0.09653997599901981,False,False,0,False
R2,nonlinear_square,27,0.13934191703663212,0.09271040288364767,False,False,0,False
R2,nonlinear_square,28,0.13587356582684074,0.09942923168659187,False,False,0,False
R2,nonlinear_square,29,0.12959438772743836,0.12959438772743836,False,False,0,False
R2,nonlinear_square,30,0.11962798070181212,0.06610236871138511,False,False,0,False
R2,nonlinear_square,31,0.1202268513576959,0.11845348504724108,False,False,0,False
R2,nonlinear_square,32,0.15759967698410324,0.13275280165597708,False,False,0,False
R2,nonlinear_square,33,0.14327842827907591,0.09363304318801151,False,False,0,False
R2,nonlinear_square,34,0.12178181797404553,0.07423287259680479,False,False,0,False
R2,nonlinear_square,35,0.12688342084232063,0.11971530236400675,False,False,0,False
R2,nonlinear_square,36,0.10983015961322842,0.10983015961322842,False,False,0,False
R2,nonlinear_square,37,0.10270007896692186,0.0941915088488144,False,False,0,False
R2,nonlinear_square,38,0.13834110784700793,0.06912298793163088,False,False,0,False
R2,nonlinear_square,39,0.12196538342888055,0.08816857138237406,False,False,0,False
R2,nonlinear_square,40,0.13027350013245595,0.06166984485574771,False,False,0,False
R2,nonlinear_square,41,0.18804826716038425,0.18804826716038425,True,True,1,False
R2,nonlinear_square,42,0.13932371288300488,0.07899965334172326,False,False,0,False
R2,nonlinear_square,43,0.13472814564060068,0.06234535089401876,False,False,0,False
R2,nonlinear_square,44,0.21140407201137013,0.0623630072870097,False,False,1,False
R2,nonlinear_square,45,0.12867935950608053,0.08445983918022057,False,False,0,False
