representation,condition,replicate,target_linear_score,target_nonlinear_score,target_combined_score,target_linear_p,target_nonlinear_p,target_combined_p,linear_any,nonlinear_any,combined_any,target_linear_localized,target_nonlinear_localized,target_combined_localized,combined_significant_pairs,broad_global_mode
R1,null,70,0.043419826740197585,0.007665161141524753,0.043419826740197585,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,71,0.02722693782327499,0.005551484091313468,0.02722693782327499,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,72,0.06050484239243518,0.011163721991734522,0.06050484239243518,1.0,0.9475,1.0,False,False,False,False,False,False,0,False
R1,null,73,0.05130909569127539,0.005761010179982442,0.05130909569127539,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,74,0.045283544868816666,0.006244875214817081,0.045283544868816666,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,75,0.07353037554800898,0.007846341431717698,0.07353037554800898,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,76,0.14253325893136756,0.018352954734514034,0.14253325893136756,0.3015,0.2435,0.3015,False,False,False,False,False,False,0,False
R1,null,77,0.11677211675861589,0.009057208266912144,0.11677211675861589,0.786,0.9975,0.786,False,False,False,False,False,False,0,False
R1,null,78,0.13903276902560124,0.015695481559963937,0.13903276902560124,0.3585,0.485,0.3585,False,False,False,False,False,False,0,False
R1,null,79,0.1613794001207648,0.012637265804391184,0.1613794001207648,0.0835,0.834,0.0835,False,True,False,False,False,False,0,False
R1,null,80,0.11225024628750642,0.010838120890996067,0.11225024628750642,0.853,0.962,0.853,False,False,False,False,False,False,0,False
R1,null,81,0.04924063249457649,0.004497616758757128,0.04924063249457649,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,82,0.0747594955275621,0.007912841843145583,0.0747594955275621,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,83,0.07616100132765888,0.005402274505064481,0.07616100132765888,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,84,0.03620427371188575,0.004610680114204181,0.03620427371188575,1.0,1.0,1.0,False,True,False,False,False,False,0,False
R1,null,85,0.035921902227863046,0.006110567983937491,0.035921902227863046,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,86,0.06416992817976183,0.006269046483122819,0.06416992817976183,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,87,0.08736649418774692,0.0062056833937868166,0.08736649418774692,0.999,1.0,0.999,False,False,False,False,False,False,0,False
R1,null,88,0.12459627979972754,0.007398071016341493,0.12459627979972754,0.638,1.0,0.638,False,False,False,False,False,False,0,False
R1,null,89,0.12626129027109836,0.011212619819581326,0.12626129027109836,0.603,0.9445,0.603,False,False,False,False,False,False,0,False
R1,null,90,0.06496439730980451,0.009971557504605478,0.06496439730980451,1.0,0.9885,1.0,False,True,False,False,False,False,0,False
R1,null,91,0.041415973267012615,0.006030956909219568,0.041415973267012615,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,92,0.130679726136191,0.011292432685440465,0.130679726136191,0.5025,0.9385,0.5025,False,False,False,False,False,False,0,False
R1,null,93,0.052337626463044344,0.004517226556984325,0.052337626463044344,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,94,0.058563917884868685,0.005622109548331975,0.058563917884868685,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,95,0.11540382041163365,0.007489761168046686,0.11540382041163365,0.8025,1.0,0.8025,False,False,False,False,False,False,0,False
R1,null,96,0.053239830304023295,0.0062613239890492054,0.053239830304023295,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,97,0.0634976711212677,0.007679802480700655,0.0634976711212677,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,98,0.10215761022383216,0.007798084433257241,0.10215761022383216,0.954,1.0,0.954,False,False,False,False,False,False,0,False
R1,null,99,0.061314768510651006,0.008844573696818916,0.061314768510651006,1.0,0.998,1.0,False,False,False,False,False,False,0,False
R1,null,100,0.09121479549655666,0.013477874001897917,0.09121479549655666,0.9945,0.745,0.9945,False,False,False,False,False,False,0,False
R1,null,101,0.06937040773447149,0.010586119483773323,0.06937040773447149,1.0,0.9705,1.0,False,False,False,False,False,False,0,False
R1,null,102,0.04591264075536286,0.007980747742204744,0.04591264075536286,1.0,0.9995,1.0,False,True,False,False,False,False,0,False
R1,null,103,0.07208520955265547,0.01014996388708507,0.07208520955265547,1.0,0.986,1.0,False,False,False,False,False,False,0,False
R1,null,104,0.08050132130522707,0.009797525289092647,0.08050132130522707,0.9995,0.99,0.9995,False,False,False,False,False,False,0,False
R1,null,105,0.05739790946560429,0.008840071816759318,0.05739790946560429,1.0,0.998,1.0,False,False,False,False,False,False,0,False
R1,null,106,0.07087537933561777,0.007298321175628115,0.07087537933561777,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,107,0.03554104341279485,0.006467189867628488,0.03554104341279485,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,108,0.05430173784086217,0.0048805909550228375,0.05430173784086217,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,109,0.1154387300005695,0.02300649032523564,0.1154387300005695,0.8025,0.058,0.8025,False,False,False,False,False,False,0,False
R1,null,110,0.08019708295163644,0.004296811295037976,0.08019708295163644,0.9995,1.0,0.9995,False,False,False,False,False,False,0,False
R1,null,111,0.08261378599839514,0.009545001209441873,0.08261378599839514,0.9995,0.9925,0.9995,False,False,False,False,False,False,0,False
R1,null,112,0.05075961438888949,0.005686039381437968,0.05075961438888949,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,113,0.08166744484580629,0.007301271890896711,0.08166744484580629,0.9995,1.0,0.9995,False,False,False,False,False,False,0,False
R1,null,114,0.14603727209357129,0.027281000428600655,0.14603727209357129,0.241,0.02,0.241,False,True,False,False,True,False,0,False
R1,null,115,0.08546601256043393,0.008161994060767567,0.08546601256043393,0.999,0.9995,0.999,True,False,True,False,False,False,1,False
R1,null,116,0.05455033864929919,0.005803446419235376,0.05455033864929919,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,117,0.08720454129483403,0.01115187159512661,0.08720454129483403,0.999,0.9475,0.999,False,True,False,False,False,False,0,False
R1,null,118,0.09496512055035626,0.008670975024880638,0.09496512055035626,0.985,0.998,0.985,False,False,False,False,False,False,0,False
R1,null,119,0.0497397082318738,0.00527611728550023,0.0497397082318738,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,120,0.10244401369845076,0.005340838247963526,0.10244401369845076,0.952,1.0,0.952,False,False,False,False,False,False,0,False
R1,null,121,0.11158946573511982,0.011460704800702387,0.11158946573511982,0.861,0.928,0.861,False,False,False,False,False,False,0,False
R1,null,122,0.04780595726864357,0.0037193193768052814,0.04780595726864357,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,123,0.08655649021903228,0.01251843545718927,0.08655649021903228,0.999,0.846,0.999,False,False,False,False,False,False,0,False
R1,null,124,0.07894699529870287,0.007289797950030593,0.07894699529870287,0.9995,1.0,0.9995,False,False,False,False,False,False,0,False
R1,null,125,0.04010651004965861,0.0027846627412249957,0.04010651004965861,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,126,0.11315382532213172,0.010768864003531477,0.11315382532213172,0.842,0.9665,0.842,False,False,False,False,False,False,0,False
R1,null,127,0.09741867696667794,0.010112798620365161,0.09741867696667794,0.9755,0.986,0.9755,False,False,False,False,False,False,0,False
R1,null,128,0.0764601199258067,0.009494701943606123,0.0764601199258067,1.0,0.993,1.0,False,False,False,False,False,False,0,False
R1,null,129,0.07963651241201661,0.016389923879656307,0.07963651241201661,0.9995,0.412,0.9995,False,False,False,False,False,False,0,False
R1,null,130,0.08262552301572887,0.009574723683665543,0.08262552301572887,0.9995,0.9925,0.9995,False,False,False,False,False,False,0,False
R1,null,131,0.12095003386802149,0.005134899225825905,0.12095003386802149,0.705,1.0,0.705,False,False,False,False,False,False,0,False
R1,null,132,0.04734654688945632,0.004829957895936033,0.04734654688945632,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,133,0.07437729838916432,0.008888457839769704,0.07437729838916432,1.0,0.998,1.0,False,False,False,False,False,False,0,False
R1,null,134,0.07719627876664607,0.005530924245204746,0.07719627876664607,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,135,0.07266107983405908,0.010517469210624446,0.07266107983405908,1.0,0.9735,1.0,False,False,False,False,False,False,0,False
R1,null,136,0.0899350998748073,0.011227260069052232,0.0899350998748073,0.9965,0.9435,0.9965,False,False,False,False,False,False,0,False
R1,null,137,0.09727802526952717,0.005821628482247914,0.09727802526952717,0.976,1.0,0.976,False,False,False,False,False,False,0,False
R1,null,138,0.07751023342578542,0.006716089048491492,0.07751023342578542,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,139,0.09943006620359952,0.005717375128391174,0.09943006620359952,0.9675,1.0,0.9675,False,False,False,False,False,False,0,False
R1,null,140,0.14836124226182995,0.021128985334080995,0.14836124226182995,0.2025,0.107,0.2025,False,False,False,False,False,False,0,False
R1,null,141,0.052977506032105735,0.0072710153018656016,0.052977506032105735,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,142,0.05608417790603963,0.004113185092137804,0.05608417790603963,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,143,0.09182064011787343,0.012756906312137665,0.09182064011787343,0.9935,0.823,0.9935,False,False,False,False,False,False,0,False
R1,null,144,0.06089915219027415,0.004433368201572707,0.06089915219027415,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,145,0.07969192833973283,0.006881820317391243,0.07969192833973283,0.9995,1.0,0.9995,False,False,False,False,False,False,0,False
R1,null,146,0.10926676117731395,0.008876028893973757,0.10926676117731395,0.8855,0.998,0.8855,False,False,False,False,False,False,0,False
R1,null,147,0.05147582905086465,0.007099444778811383,0.05147582905086465,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,148,0.07810636981877961,0.006838694101148033,0.07810636981877961,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,149,0.06003116190335256,0.0058116459445663,0.06003116190335256,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,150,0.08041860092694321,0.009264961908256025,0.08041860092694321,0.9995,0.996,0.9995,False,False,False,False,False,False,0,False
R1,null,151,0.04885885986383781,0.009737232972762503,0.04885885986383781,1.0,0.99,1.0,False,False,False,False,False,False,0,False
R1,null,152,0.058875414698132504,0.01116304904104767,0.058875414698132504,1.0,0.9475,1.0,False,False,False,False,False,False,0,False
R1,null,153,0.08171203525827737,0.007789768484105828,0.08171203525827737,0.9995,1.0,0.9995,False,False,False,False,False,False,0,False
R1,null,154,0.048871445640002,0.005748111769963309,0.048871445640002,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,155,0.05953929181594526,0.005189988987423974,0.05953929181594526,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,156,0.05193814018036315,0.006637442246878859,0.05193814018036315,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,157,0.04197233309899894,0.0056690670762263185,0.04197233309899894,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,158,0.09712470425879867,0.01035287072132232,0.09712470425879867,0.977,0.978,0.977,True,False,True,False,False,False,1,False
R1,null,159,0.07828807383706951,0.00832127638153419,0.07828807383706951,1.0,0.9995,1.0,False,False,False,False,False,False,0,False
R1,null,160,0.17986389014551768,0.020086439116253255,0.17986389014551768,0.026,0.1515,0.026,True,False,True,True,False,True,1,False
R1,null,161,0.04917096544396531,0.008145005861253682,0.04917096544396531,1.0,0.9995,1.0,False,False,False,False,False,False,0,False
R1,null,162,0.10172049697047046,0.011548967847409441,0.10172049697047046,0.956,0.925,0.956,False,False,False,False,False,False,0,False
R1,null,163,0.08881383669393264,0.010453125954730183,0.08881383669393264,0.9975,0.975,0.9975,False,False,False,False,False,False,0,False
R1,null,164,0.07024714422472159,0.007207530038999426,0.07024714422472159,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,165,0.07020420424852725,0.008307013406641707,0.07020420424852725,1.0,0.9995,1.0,False,False,False,False,False,False,0,False
R1,null,166,0.03829080985875802,0.005129196058949422,0.03829080985875802,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,167,0.05881531706405869,0.007102615769777393,0.05881531706405869,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,168,0.08314260517653671,0.012163165591131807,0.08314260517653671,0.9995,0.878,0.9995,False,False,False,False,False,False,0,False
R1,null,169,0.09827403916634109,0.0069657535315383635,0.09827403916634109,0.9725,1.0,0.9725,False,False,False,False,False,False,0,False
R1,null,170,0.10254505015553039,0.008999500721895398,0.10254505015553039,0.9515,0.998,0.9515,False,False,False,False,False,False,0,False
R1,null,171,0.077921746455163,0.006000364727838895,0.077921746455163,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,172,0.12435665302380819,0.007428833502709889,0.12435665302380819,0.6435,1.0,0.6435,False,False,False,False,False,False,0,False
R1,null,173,0.10705231787088233,0.009957775298670353,0.10705231787088233,0.9095,0.9885,0.9095,False,False,False,False,False,False,0,False
R1,null,174,0.04444003811607344,0.005703193580269105,0.04444003811607344,1.0,1.0,1.0,False,True,False,False,False,False,0,False
R1,null,175,0.06596044472556177,0.0065672921879392,0.06596044472556177,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,176,0.049680879257976006,0.013022878870498618,0.049680879257976006,1.0,0.799,1.0,False,False,False,False,False,False,0,False
R1,null,177,0.032113587337374766,0.0053355763725042435,0.032113587337374766,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,178,0.08291091128281156,0.007159767003504494,0.08291091128281156,0.9995,1.0,0.9995,False,False,False,False,False,False,0,False
R1,null,179,0.0697010100354581,0.0038072377345619943,0.0697010100354581,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,180,0.101232272160393,0.01161900137200005,0.101232272160393,0.96,0.9195,0.96,False,False,False,False,False,False,0,False
R1,null,181,0.0692745479029253,0.005351500893394096,0.0692745479029253,1.0,1.0,1.0,False,False,False,False,False,False,0,False
