candidate,replicate,linear_max,nonlinear_max,combined_max
rff128,50,0.12209532211225879,0.01828645884008131,0.12209532211225879
ensemble4x32,50,0.12209532211225879,0.016599005994248968,0.12209532211225879
rff24,51,0.13206674065834642,0.0127663108989466,0.13206674065834642
rff64,51,0.13206674065834642,0.013706205974003575,0.13206674065834642
rff128,51,0.13206674065834642,0.01611866195314464,0.13206674065834642
ensemble4x32,51,0.13206674065834642,0.012268557170524778,0.13206674065834642
rff24,52,0.1425700789585722,0.029189487974407662,0.1425700789585722
rff64,52,0.1425700789585722,0.026237118105667957,0.1425700789585722
rff128,52,0.1425700789585722,0.023358102794376685,0.1425700789585722
ensemble4x32,52,0.1425700789585722,0.023082720831313342,0.1425700789585722
rff24,53,0.11039695488470563,0.014939191222941831,0.11039695488470563
rff64,53,0.11039695488470563,0.014382957778782691,0.11039695488470563
rff128,53,0.11039695488470563,0.011923441756833388,0.11039695488470563
ensemble4x32,53,0.11039695488470563,0.012528360477318867,0.11039695488470563
rff24,54,0.12646834381151542,0.014274141483316584,0.12646834381151542
rff64,54,0.12646834381151542,0.014768447395172834,0.12646834381151542
rff128,54,0.12646834381151542,0.012967055297942811,0.12646834381151542
ensemble4x32,54,0.12646834381151542,0.012762959352465025,0.12646834381151542
rff24,55,0.11756284348621071,0.013102005233569152,0.11756284348621071
rff64,55,0.11756284348621071,0.00921050561601822,0.11756284348621071
rff128,55,0.11756284348621071,0.01390088395781742,0.11756284348621071
ensemble4x32,55,0.11756284348621071,0.009592960286922945,0.11756284348621071
rff24,56,0.13896183459837852,0.027293673090769084,0.13896183459837852
rff64,56,0.13896183459837852,0.025992967130388442,0.13896183459837852
rff128,56,0.13896183459837852,0.029303929396970112,0.13896183459837852
ensemble4x32,56,0.13896183459837852,0.025352209680825702,0.13896183459837852
rff24,57,0.1239364069667926,0.015974876381063333,0.1239364069667926
rff64,57,0.1239364069667926,0.01341199939892331,0.1239364069667926
rff128,57,0.1239364069667926,0.014698155755713408,0.1239364069667926
ensemble4x32,57,0.1239364069667926,0.011863875131188502,0.1239364069667926
rff24,58,0.12961684284717429,0.01462585730541555,0.12961684284717429
rff64,58,0.12961684284717429,0.01814392705016278,0.12961684284717429
rff128,58,0.12961684284717429,0.012199407019287007,0.12961684284717429
ensemble4x32,58,0.12961684284717429,0.011628454377386464,0.12961684284717429
rff24,59,0.14346619630218296,0.013951723791594761,0.14346619630218296
rff64,59,0.14346619630218296,0.01446887318145294,0.14346619630218296
rff128,59,0.14346619630218296,0.012583258931561021,0.14346619630218296
ensemble4x32,59,0.14346619630218296,0.013610749711346449,0.14346619630218296
rff24,60,0.17040089610728532,0.01827860594983583,0.17040089610728532
rff64,60,0.17040089610728532,0.01997230268853923,0.17040089610728532
rff128,60,0.17040089610728532,0.02396598001435913,0.17040089610728532
ensemble4x32,60,0.17040089610728532,0.02269198428277992,0.17040089610728532
rff24,61,0.151481729113083,0.021976836264125832,0.151481729113083
rff64,61,0.151481729113083,0.021577621140542264,0.151481729113083
rff128,61,0.151481729113083,0.01989731176301833,0.151481729113083
ensemble4x32,61,0.151481729113083,0.01687852092231941,0.151481729113083
rff24,62,0.15791049184556816,0.026351218249345863,0.15791049184556816
rff64,62,0.15791049184556816,0.026278279635600324,0.15791049184556816
rff128,62,0.15791049184556816,0.025953207229533797,0.15791049184556816
ensemble4x32,62,0.15791049184556816,0.022799229852472954,0.15791049184556816
rff24,63,0.12350008411591407,0.016795031399988614,0.12350008411591407
rff64,63,0.12350008411591407,0.013293174933997374,0.12350008411591407
rff128,63,0.12350008411591407,0.013037229210644624,0.12350008411591407
ensemble4x32,63,0.12350008411591407,0.014482989776121037,0.12350008411591407
rff24,64,0.13444720363931612,0.013907815834399193,0.13444720363931612
rff64,64,0.13444720363931612,0.0124461516635496,0.13444720363931612
rff128,64,0.13444720363931612,0.01548138182412889,0.13444720363931612
ensemble4x32,64,0.13444720363931612,0.013147854190095554,0.13444720363931612
rff24,65,0.13462530289531904,0.014770950948455283,0.13462530289531904
rff64,65,0.13462530289531904,0.01770390884236575,0.13462530289531904
rff128,65,0.13462530289531904,0.015809487399525642,0.13462530289531904
ensemble4x32,65,0.13462530289531904,0.015068339578584531,0.13462530289531904
rff24,66,0.11736542835890106,0.02061762009925439,0.11736542835890106
rff64,66,0.11736542835890106,0.017732614014543853,0.11736542835890106
rff128,66,0.11736542835890106,0.01761265462600011,0.11736542835890106
ensemble4x32,66,0.11736542835890106,0.016982545996654094,0.11736542835890106
rff24,67,0.13482954943251388,0.015333272652575168,0.13482954943251388
rff64,67,0.13482954943251388,0.012846609378732174,0.13482954943251388
rff128,67,0.13482954943251388,0.01687153824738012,0.13482954943251388
ensemble4x32,67,0.13482954943251388,0.013058268505996342,0.13482954943251388
rff24,68,0.11924100139780787,0.013002764861788968,0.11924100139780787
rff64,68,0.11924100139780787,0.0117627295083479,0.11924100139780787
rff128,68,0.11924100139780787,0.012934197866512417,0.11924100139780787
ensemble4x32,68,0.11924100139780787,0.014228778661384642,0.11924100139780787
rff24,69,0.15286136438364542,0.01760546560379976,0.15286136438364542
rff64,69,0.15286136438364542,0.015210483954399555,0.15286136438364542
rff128,69,0.15286136438364542,0.015099893868950366,0.15286136438364542
ensemble4x32,69,0.15286136438364542,0.014063785821104426,0.15286136438364542
rff24,70,0.14450892532297777,0.015874162368002213,0.14450892532297777
rff64,70,0.14450892532297777,0.012847184888442314,0.14450892532297777
rff128,70,0.14450892532297777,0.013510543987297209,0.14450892532297777
ensemble4x32,70,0.14450892532297777,0.013121303956641977,0.14450892532297777
rff24,71,0.11473828856414668,0.011250425890133179,0.11473828856414668
rff64,71,0.11473828856414668,0.01102591516915791,0.11473828856414668
rff128,71,0.11473828856414668,0.0110046355826123,0.11473828856414668
ensemble4x32,71,0.11473828856414668,0.010357770401402875,0.11473828856414668
rff24,72,0.11013480108933235,0.013576687595462697,0.11013480108933235
rff64,72,0.11013480108933235,0.015293743905516391,0.11013480108933235
rff128,72,0.11013480108933235,0.015186728734308132,0.11013480108933235
ensemble4x32,72,0.11013480108933235,0.013771035365131294,0.11013480108933235
rff24,73,0.14257733730203276,0.023734620767530662,0.14257733730203276
rff64,73,0.14257733730203276,0.025902971809783598,0.14257733730203276
rff128,73,0.14257733730203276,0.026015334291713297,0.14257733730203276
ensemble4x32,73,0.14257733730203276,0.026599944000734344,0.14257733730203276
rff24,74,0.1439549558209509,0.021673217948544442,0.1439549558209509
rff64,74,0.1439549558209509,0.01980091967285216,0.1439549558209509
rff128,74,0.1439549558209509,0.01879366402092534,0.1439549558209509
ensemble4x32,74,0.1439549558209509,0.019535310377334483,0.1439549558209509
rff24,75,0.107097174680939,0.015025311802085143,0.107097174680939
rff64,75,0.107097174680939,0.016394469208053156,0.107097174680939
rff128,75,0.107097174680939,0.016674041074756337,0.107097174680939
ensemble4x32,75,0.107097174680939,0.015175808319921342,0.107097174680939
rff24,76,0.10293256722895906,0.014010776860929148,0.10293256722895906
rff64,76,0.10293256722895906,0.014771373740868348,0.10293256722895906
rff128,76,0.10293256722895906,0.014425891675001816,0.10293256722895906
ensemble4x32,76,0.10293256722895906,0.015278773118610204,0.10293256722895906
rff24,77,0.16224872756562506,0.01939865405300376,0.16224872756562506
rff64,77,0.16224872756562506,0.021663338151336815,0.16224872756562506
rff128,77,0.16224872756562506,0.018833897655413618,0.16224872756562506
ensemble4x32,77,0.16224872756562506,0.021157755483073123,0.16224872756562506
rff24,78,0.12303702334053203,0.01633478939358043,0.12303702334053203
rff64,78,0.12303702334053203,0.01444430703254025,0.12303702334053203
rff128,78,0.12303702334053203,0.016441501915980285,0.12303702334053203
ensemble4x32,78,0.12303702334053203,0.015580810894026784,0.12303702334053203
rff24,79,0.13272925957499748,0.013596917476487008,0.13272925957499748
rff64,79,0.13272925957499748,0.01292057492378523,0.13272925957499748
rff128,79,0.13272925957499748,0.013962560262066635,0.13272925957499748
ensemble4x32,79,0.13272925957499748,0.013935528658337987,0.13272925957499748
rff24,80,0.14961812764596447,0.014065904276329807,0.14961812764596447
rff64,80,0.14961812764596447,0.013070885073264038,0.14961812764596447
rff128,80,0.14961812764596447,0.014629891423889452,0.14961812764596447
ensemble4x32,80,0.14961812764596447,0.012505196330982866,0.14961812764596447
rff24,81,0.116464934909515,0.0199662014537363,0.116464934909515
rff64,81,0.116464934909515,0.0192489895344031,0.116464934909515
rff128,81,0.116464934909515,0.02023817489689112,0.116464934909515
ensemble4x32,81,0.116464934909515,0.016875533068565086,0.116464934909515
rff24,82,0.11375144086383576,0.015020945591007289,0.11375144086383576
rff64,82,0.11375144086383576,0.014420628319612286,0.11375144086383576
rff128,82,0.11375144086383576,0.015882454477460423,0.11375144086383576
ensemble4x32,82,0.11375144086383576,0.0153655028181577,0.11375144086383576
rff24,83,0.12902237277570616,0.013250314964658118,0.12902237277570616
rff64,83,0.12902237277570616,0.013823189449558022,0.12902237277570616
rff128,83,0.12902237277570616,0.014601810195357987,0.12902237277570616
ensemble4x32,83,0.12902237277570616,0.013658218380266037,0.12902237277570616
rff24,84,0.13906592158621223,0.01554739141620921,0.13906592158621223
rff64,84,0.13906592158621223,0.01929796450207071,0.13906592158621223
rff128,84,0.13906592158621223,0.018505503471862375,0.13906592158621223
ensemble4x32,84,0.13906592158621223,0.01706019810928246,0.13906592158621223
rff24,85,0.11240364416339288,0.010427818741717295,0.11240364416339288
rff64,85,0.11240364416339288,0.01452462342442426,0.11240364416339288
rff128,85,0.11240364416339288,0.011776201424292906,0.11240364416339288
ensemble4x32,85,0.11240364416339288,0.012006762496227421,0.11240364416339288
rff24,86,0.14166762630987442,0.031223788955051623,0.14166762630987442
rff64,86,0.14166762630987442,0.02837917297288466,0.14166762630987442
rff128,86,0.14166762630987442,0.029985707220770645,0.14166762630987442
ensemble4x32,86,0.14166762630987442,0.02353408084790169,0.14166762630987442
rff24,87,0.15931323542368866,0.015487895628673014,0.15931323542368866
rff64,87,0.15931323542368866,0.013984360711460624,0.15931323542368866
rff128,87,0.15931323542368866,0.012941732433920277,0.15931323542368866
ensemble4x32,87,0.15931323542368866,0.012842813651435442,0.15931323542368866
rff24,88,0.11719124486529295,0.018183359849834418,0.11719124486529295
rff64,88,0.11719124486529295,0.013382876343864362,0.11719124486529295
rff128,88,0.11719124486529295,0.01557009396530147,0.11719124486529295
ensemble4x32,88,0.11719124486529295,0.01446496986939271,0.11719124486529295
rff24,89,0.167345260086768,0.02047681806886195,0.167345260086768
rff64,89,0.167345260086768,0.023802420055861508,0.167345260086768
rff128,89,0.167345260086768,0.021933529985100998,0.167345260086768
ensemble4x32,89,0.167345260086768,0.01934681094512512,0.167345260086768
rff24,90,0.1504527739522241,0.018095054009654814,0.1504527739522241
rff64,90,0.1504527739522241,0.01955647984625811,0.1504527739522241
rff128,90,0.1504527739522241,0.019346984395168312,0.1504527739522241
ensemble4x32,90,0.1504527739522241,0.018163285745606918,0.1504527739522241
rff24,91,0.12915162779150752,0.01597427001591433,0.12915162779150752
rff64,91,0.12915162779150752,0.016281792195271382,0.12915162779150752
rff128,91,0.12915162779150752,0.01431552661542324,0.12915162779150752
ensemble4x32,91,0.12915162779150752,0.01564518257499038,0.12915162779150752
rff24,92,0.13625455616400028,0.022576419275841537,0.13625455616400028
rff64,92,0.13625455616400028,0.024458661582473677,0.13625455616400028
rff128,92,0.13625455616400028,0.023600893716912864,0.13625455616400028
ensemble4x32,92,0.13625455616400028,0.019777069285755088,0.13625455616400028
rff24,93,0.09983130059653844,0.013020587119049225,0.09983130059653844
rff64,93,0.09983130059653844,0.012981309834947097,0.09983130059653844
rff128,93,0.09983130059653844,0.013435436382620004,0.09983130059653844
ensemble4x32,93,0.09983130059653844,0.014310946304093164,0.09983130059653844
rff24,94,0.12176810528576744,0.016952115237187267,0.12176810528576744
rff64,94,0.12176810528576744,0.013997317377487821,0.12176810528576744
rff128,94,0.12176810528576744,0.014502593792938218,0.12176810528576744
ensemble4x32,94,0.12176810528576744,0.014395397547495446,0.12176810528576744
rff24,95,0.11293102752993864,0.02517866516494466,0.11293102752993864
rff64,95,0.11293102752993864,0.023274680196912853,0.11293102752993864
rff128,95,0.11293102752993864,0.020539806639012562,0.11293102752993864
ensemble4x32,95,0.11293102752993864,0.02030834429292217,0.11293102752993864
rff24,96,0.15675720609209734,0.02170353805408308,0.15675720609209734
rff64,96,0.15675720609209734,0.018247422861889167,0.15675720609209734
rff128,96,0.15675720609209734,0.018527549318856643,0.15675720609209734
ensemble4x32,96,0.15675720609209734,0.01748028617234985,0.15675720609209734
rff24,97,0.12443653293820897,0.018217325605519676,0.12443653293820897
rff64,97,0.12443653293820897,0.02052928835351996,0.12443653293820897
rff128,97,0.12443653293820897,0.02011694083770716,0.12443653293820897
ensemble4x32,97,0.12443653293820897,0.020427038940148797,0.12443653293820897
rff24,98,0.11997752490709421,0.019994470987082676,0.11997752490709421
rff64,98,0.11997752490709421,0.023039018067035337,0.11997752490709421
rff128,98,0.11997752490709421,0.02448799953925576,0.11997752490709421
ensemble4x32,98,0.11997752490709421,0.019013655317933968,0.11997752490709421
rff24,99,0.15036059074880245,0.016205822551985837,0.15036059074880245
rff64,99,0.15036059074880245,0.020146455653292802,0.15036059074880245
rff128,99,0.15036059074880245,0.017078273492659175,0.15036059074880245
ensemble4x32,99,0.15036059074880245,0.015837347547010865,0.15036059074880245
rff24,100,0.13583085978689927,0.01257626422262976,0.13583085978689927
rff64,100,0.13583085978689927,0.014474158551981501,0.13583085978689927
rff128,100,0.13583085978689927,0.012827263121587981,0.13583085978689927
ensemble4x32,100,0.13583085978689927,0.013367049555525905,0.13583085978689927
rff24,101,0.1425140208203028,0.021259310417791288,0.1425140208203028
rff64,101,0.1425140208203028,0.021681104040347215,0.1425140208203028
rff128,101,0.1425140208203028,0.023756754243021722,0.1425140208203028
ensemble4x32,101,0.1425140208203028,0.024742186927507882,0.1425140208203028
rff24,102,0.11562141905907,0.0187369469676608,0.11562141905907
rff64,102,0.11562141905907,0.015067467256820987,0.11562141905907
rff128,102,0.11562141905907,0.018553750151200792,0.11562141905907
ensemble4x32,102,0.11562141905907,0.015837264885445675,0.11562141905907
rff24,103,0.12472814403511942,0.017764943151415146,0.12472814403511942
