candidate,replicate,linear_max,nonlinear_max,combined_max
ensemble4x32,34,0.18547627926831642,0.021940615153688663,0.18547627926831642
rff24,35,0.1310268599811919,0.023109319947526043,0.1310268599811919
rff64,35,0.1310268599811919,0.019912594188964947,0.1310268599811919
rff128,35,0.1310268599811919,0.021429104469017145,0.1310268599811919
ensemble4x32,35,0.1310268599811919,0.021958560595969838,0.1310268599811919
rff24,36,0.1186339906088748,0.018139752602831856,0.1186339906088748
rff64,36,0.1186339906088748,0.021224126751744475,0.1186339906088748
rff128,36,0.1186339906088748,0.01824024671053119,0.1186339906088748
ensemble4x32,36,0.1186339906088748,0.0160731223842541,0.1186339906088748
rff24,37,0.1340828336531651,0.011908081721265947,0.1340828336531651
rff64,37,0.1340828336531651,0.015784140783024033,0.1340828336531651
rff128,37,0.1340828336531651,0.014585059278978175,0.1340828336531651
ensemble4x32,37,0.1340828336531651,0.013596583213333253,0.1340828336531651
rff24,38,0.14022696787768427,0.02041598026786986,0.14022696787768427
rff64,38,0.14022696787768427,0.018525051747712306,0.14022696787768427
rff128,38,0.14022696787768427,0.01779610273035506,0.14022696787768427
ensemble4x32,38,0.14022696787768427,0.0164579023465244,0.14022696787768427
rff24,39,0.1326027508895759,0.0141922281095337,0.1326027508895759
rff64,39,0.1326027508895759,0.012774220757548164,0.1326027508895759
rff128,39,0.1326027508895759,0.012238383879490247,0.1326027508895759
ensemble4x32,39,0.1326027508895759,0.014106427807452393,0.1326027508895759
rff24,40,0.14598190708953412,0.014976072892303243,0.14598190708953412
rff64,40,0.14598190708953412,0.01454293328529025,0.14598190708953412
rff128,40,0.14598190708953412,0.01267108495155437,0.14598190708953412
ensemble4x32,40,0.14598190708953412,0.012311709314585983,0.14598190708953412
rff24,41,0.15629247509261157,0.01909083969406766,0.15629247509261157
rff64,41,0.15629247509261157,0.024434956462966593,0.15629247509261157
rff128,41,0.15629247509261157,0.017138478561913303,0.15629247509261157
ensemble4x32,41,0.15629247509261157,0.020009733478294215,0.15629247509261157
rff24,42,0.16960246601317405,0.014607150250932859,0.16960246601317405
rff64,42,0.16960246601317405,0.015506907711569609,0.16960246601317405
rff128,42,0.16960246601317405,0.015502158385955788,0.16960246601317405
ensemble4x32,42,0.16960246601317405,0.014343577400444282,0.16960246601317405
rff24,43,0.12319537204102128,0.01853034017243477,0.12319537204102128
rff64,43,0.12319537204102128,0.0185339957182026,0.12319537204102128
rff128,43,0.12319537204102128,0.02343184926912116,0.12319537204102128
ensemble4x32,43,0.12319537204102128,0.020188330398615395,0.12319537204102128
rff24,44,0.15411467067145856,0.019559795869874233,0.15411467067145856
rff64,44,0.15411467067145856,0.01925469500777423,0.15411467067145856
rff128,44,0.15411467067145856,0.020336768831296904,0.15411467067145856
ensemble4x32,44,0.15411467067145856,0.01926144644014338,0.15411467067145856
rff24,45,0.14057957224549678,0.0123391566228625,0.14057957224549678
rff64,45,0.14057957224549678,0.012808676017289999,0.14057957224549678
rff128,45,0.14057957224549678,0.01329138647307039,0.14057957224549678
ensemble4x32,45,0.14057957224549678,0.012351477831739918,0.14057957224549678
rff24,46,0.1165139807653076,0.017969335972036603,0.1165139807653076
rff64,46,0.1165139807653076,0.01616420051880803,0.1165139807653076
rff128,46,0.1165139807653076,0.017164177487478526,0.1165139807653076
ensemble4x32,46,0.1165139807653076,0.01475591987153774,0.1165139807653076
rff24,47,0.13075262952617964,0.014908664665546054,0.13075262952617964
rff64,47,0.13075262952617964,0.01910146340698085,0.13075262952617964
rff128,47,0.13075262952617964,0.01817298513192453,0.13075262952617964
ensemble4x32,47,0.13075262952617964,0.01596318489683341,0.13075262952617964
rff24,48,0.17781771788788026,0.02498914267418389,0.17781771788788026
rff64,48,0.17781771788788026,0.0247391093408865,0.17781771788788026
rff128,48,0.17781771788788026,0.0247700636134183,0.17781771788788026
ensemble4x32,48,0.17781771788788026,0.02526793562329636,0.17781771788788026
rff24,49,0.12900049897012802,0.014147208638070643,0.12900049897012802
rff64,49,0.12900049897012802,0.0180727351400005,0.12900049897012802
rff128,49,0.12900049897012802,0.01567829555341639,0.12900049897012802
ensemble4x32,49,0.12900049897012802,0.014481338340334824,0.12900049897012802
rff24,50,0.13350985315265043,0.016846992663145762,0.13350985315265043
rff64,50,0.13350985315265043,0.0157583077772218,0.13350985315265043
rff128,50,0.13350985315265043,0.016189451047578383,0.13350985315265043
ensemble4x32,50,0.13350985315265043,0.01722676479127449,0.13350985315265043
rff24,51,0.17941391048903477,0.02930769822734086,0.17941391048903477
rff64,51,0.17941391048903477,0.0227506991978089,0.17941391048903477
rff128,51,0.17941391048903477,0.024557908427527995,0.17941391048903477
ensemble4x32,51,0.17941391048903477,0.022636696490981024,0.17941391048903477
rff24,52,0.10051681566009768,0.013385285264480455,0.10051681566009768
rff64,52,0.10051681566009768,0.014548933359967445,0.10051681566009768
