candidate,condition,replicate,target_linear,target_nonlinear,target_combined,target_linear_p,target_nonlinear_p,target_combined_p,linear_max_p,nonlinear_max_p,combined_max_p
rff128,nonlinear_square,17,0.06474724937457665,0.09245193118742809,0.09245193118742809,1.0,0.0005,0.9945,0.792,0.0005,0.792
ensemble4x32,nonlinear_square,17,0.06474724937457665,0.10653862386783462,0.10653862386783462,1.0,0.0005,0.9195,0.792,0.0005,0.792
rff24,nonlinear_square,18,0.1578904001563426,0.13896218289592,0.1578904001563426,0.1215,0.0005,0.1215,0.1215,0.0005,0.1215
rff64,nonlinear_square,18,0.1578904001563426,0.08559368579078434,0.1578904001563426,0.1215,0.0005,0.1215,0.1215,0.0005,0.1215
rff128,nonlinear_square,18,0.1578904001563426,0.1058950125614548,0.1578904001563426,0.1215,0.0005,0.1215,0.1215,0.0005,0.1215
ensemble4x32,nonlinear_square,18,0.1578904001563426,0.11992445478035463,0.1578904001563426,0.1215,0.0005,0.1215,0.1215,0.0005,0.1215
rff24,nonlinear_square,19,0.07960285732394022,0.06800414175123773,0.07960285732394022,1.0,0.0005,1.0,0.709,0.0005,0.709
rff64,nonlinear_square,19,0.07960285732394022,0.04739709043118727,0.07960285732394022,1.0,0.0005,1.0,0.709,0.0005,0.709
rff128,nonlinear_square,19,0.07960285732394022,0.058975218865469685,0.07960285732394022,1.0,0.0005,1.0,0.709,0.0005,0.709
ensemble4x32,nonlinear_square,19,0.07960285732394022,0.06432949194168792,0.07960285732394022,1.0,0.0005,1.0,0.709,0.0005,0.709
rff24,nonlinear_square,20,0.05276330332648988,0.11391616394178286,0.11391616394178286,1.0,0.0005,0.824,0.213,0.0005,0.213
rff64,nonlinear_square,20,0.05276330332648988,0.06307571611633954,0.06307571611633954,1.0,0.0005,1.0,0.213,0.0005,0.213
rff128,nonlinear_square,20,0.05276330332648988,0.08300728863447585,0.08300728863447585,1.0,0.0005,0.9995,0.213,0.0005,0.213
ensemble4x32,nonlinear_square,20,0.05276330332648988,0.09573964407133115,0.09573964407133115,1.0,0.0005,0.9865,0.213,0.0005,0.213
rff24,nonlinear_square,21,0.07592934174452247,0.1163358349270943,0.1163358349270943,1.0,0.0005,0.79,0.052,0.0005,0.052
rff64,nonlinear_square,21,0.07592934174452247,0.07309417444088256,0.07592934174452247,1.0,0.0005,1.0,0.052,0.0005,0.052
rff128,nonlinear_square,21,0.07592934174452247,0.08736357620549516,0.08736357620549516,1.0,0.0005,0.999,0.052,0.0005,0.052
ensemble4x32,nonlinear_square,21,0.07592934174452247,0.10061995649572779,0.10061995649572779,1.0,0.0005,0.9665,0.052,0.0005,0.052
